month,fao_food_index,fao_food_yoy,fao_cereals_index,fao_cereals_yoy,fao_oils_index,fao_oils_yoy,mad_eur,fx_yoy
2023-07-01,124.4,-12.146892655367225,125.9,-14.52817379497624,129.8,-23.104265402843605,10.783860244233397,-0.17596711261337328
2023-08-01,121.8,-12.184571016582545,125.0,-14.148351648351642,125.8,-22.963870177587264,10.782276119403004,-0.17599292008501077
2023-09-01,121.7,-11.361981063364901,126.3,-14.60446247464503,120.9,-20.77326343381388,10.78069199457261,-0.17601873512766986
2023-10-01,120.7,-11.704462326261877,124.8,-18.056467498358508,120.0,-20.68737607402512,10.779107869742216,-0.1760445577446479
2023-11-01,120.6,-11.32352941176471,121.0,-19.387075283144572,124.1,-19.780219780219777,10.777523744911822,-0.17607038793929775
2023-12-01,119.1,-10.518407212622094,122.8,-16.632722335369998,122.3,-15.421853388658368,10.775939620081427,-0.1760962257149612
2024-01-01,117.6,-10.502283105022837,119.9,-18.711864406779654,122.5,-12.749287749287753,10.774355495251031,-0.1761220710749578
2024-02-01,117.4,-10.175975516449876,113.8,-22.42672119972733,120.9,-11.037527593818986,10.77277137042064,-0.17614792402258495
2024-03-01,118.9,-7.109374999999996,110.9,-19.985569985569974,130.6,-0.9104704097116945,10.771187245590246,-0.1761737845612732
2024-04-01,119.2,-7.165109034267914,111.6,-18.00146950771492,130.9,0.6923076923077032,10.769603120759852,-0.17619965269431992
2024-05-01,120.5,-3.2128514056224855,118.7,-8.197989172467135,127.8,7.6663858466722745,10.768018995929458,-0.1762255284250558
2024-06-01,121.0,-1.6260162601625994,115.2,-9.004739336492884,131.8,13.816925734024199,10.766434871099063,-0.17625141175687808
2024-07-01,120.9,-2.813504823151125,110.7,-12.073073868149331,135.0,4.00616332819721,10.76485074626867,-0.17627730269309527
2024-08-01,121.7,-0.08210180623973162,110.2,-11.839999999999995,136.1,8.187599364069943,10.763266621438277,-0.17630320123707133
2024-09-01,124.6,2.3829087921117376,113.6,-10.055423594615998,142.4,17.783291976840367,10.76168249660788,-0.17632910739217023
2024-10-01,126.9,5.136702568351281,114.4,-8.333333333333325,152.7,27.249999999999996,10.760098371777486,-0.17635502116173374
2024-11-01,127.7,5.887230514096187,111.4,-7.933884297520654,164.1,32.232070910556,10.758514246947094,-0.17638094254909253
2024-12-01,127.3,6.884970612930319,111.4,-9.28338762214983,162.1,32.54292722812755,10.7569301221167,-0.176406871557655
