look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run,train_time_s
12,64,64,0.3,0.0005,16,0.017521212023615763,0.01410556825677111,1.1800026161254522,55,15.7
12,32,64,0.3,0.001,32,0.01755600148820803,0.014358598717223238,1.2002982098220638,29,9.8
24,64,32,0.3,0.0005,8,0.017579368951962483,0.015383017989440313,1.2783800708373592,90,44.5
12,128,32,0.2,0.001,8,0.017703506112146442,0.015787553958602745,1.2928204145596351,23,11.0
12,128,64,0.1,0.0005,16,0.017752298282948623,0.014684490235666333,1.226014788116902,24,16.9
6,64,64,0.3,0.0005,16,0.017755324774079154,0.014956531102882364,1.2176143326377953,39,12.0
12,64,64,0.2,0.001,32,0.017809405676194056,0.014329020377486882,1.1983647598898042,26,9.1
12,128,64,0.3,0.001,16,0.017827310791530097,0.014925663871068109,1.2455214711538571,18,8.3
6,32,32,0.3,0.0005,8,0.017851072271280615,0.01725197898632123,1.4230203591357995,35,17.7
12,32,64,0.2,0.001,16,0.017934200512401004,0.015578170420680283,1.2975441228781386,21,8.0
18,64,16,0.1,0.0005,8,0.01802268759485976,0.014659547101035928,1.2256592121716547,52,22.1
18,128,16,0.3,0.0005,8,0.018042257483161895,0.015922932362792557,1.3204670392821285,35,20.2
12,64,32,0.3,0.001,8,0.018206395311708992,0.017963624130743452,1.481817748756939,24,11.8
24,32,64,0.1,0.0005,8,0.018253498712832095,0.014462249719955264,1.211211431898198,80,36.5
12,128,64,0.2,0.0005,16,0.018304469354814303,0.014703300258458039,1.2300092795360964,22,9.6
6,32,32,0.2,0.0005,16,0.0183204974565711,0.017224541165745417,1.4198371517642259,64,22.9
12,32,64,0.1,0.0005,8,0.018351793408458047,0.016782916860691097,1.3799255925199876,61,24.3
6,32,32,0.1,0.0005,8,0.01837206218135697,0.0173141666896831,1.4244240978144616,61,25.6
6,64,16,0.3,0.0005,16,0.018435556448167877,0.01755712219689965,1.4477570632887642,54,50.1
6,32,16,0.2,0.0005,16,0.018621507422041,0.017529693819162615,1.4427224873236555,75,24.6
12,128,16,0.3,0.0005,8,0.018701926217315517,0.018518119899670796,1.52683114872021,58,21.6
6,128,16,0.2,0.0005,16,0.018753194682606125,0.018475187324938788,1.5196846895209464,69,19.2
12,64,16,0.3,0.001,8,0.018813320613370547,0.018315564161754148,1.5004250037692575,45,15.2
6,128,16,0.3,0.0005,8,0.018891234197631494,0.018438492689505696,1.516871684231635,29,12.2
12,64,64,0.1,0.0005,16,0.018996761674048138,0.015608970076950772,1.303650935559319,23,8.3
6,128,64,0.1,0.0005,16,0.019010144001772384,0.016190895610377416,1.319839781056489,54,15.9
6,32,32,0.3,0.001,16,0.01901059676486341,0.01855128645446423,1.526223351911522,41,19.6
18,64,16,0.1,0.001,8,0.019026990085692044,0.01869898449262293,1.5449018674714357,39,18.1
18,64,32,0.1,0.001,8,0.0190450963974015,0.018372014396272538,1.520598592984515,44,19.6
12,64,64,0.3,0.0005,32,0.019241198382774105,0.01585571688393799,1.32411376463526,42,12.9
