month,inflation_yoy,P_crise_ms_pure,P_stable_ms_pure,P_crise_ms_besi,P_stable_ms_besi
2022-01-01,4.208416833667328,1.0,1.537446652636258e-34,0.9999999883878622,1.1612137801208474e-08
2022-02-01,5.522088353413657,1.0,1.0433051355446426e-32,0.9999999999999957,4.370066743498972e-15
2022-03-01,9.40000000000001,1.0,9.641390353055661e-30,0.9999999999999999,1.1369555329125325e-27
2022-04-01,9.417475728155344,1.0,8.556991996656374e-30,1.0,4.237050149846708e-29
2022-05-01,8.59073359073359,1.0,1.9188722553647095e-31,1.0,3.3570719704757895e-28
2022-06-01,11.045364891518728,1.0,8.884764906935885e-30,1.0,1.8151123093773873e-31
2022-07-01,12.365063788027465,1.0,1.70890266287107e-29,1.0,1.7664713562598817e-31
2022-08-01,14.581280788177333,1.0,4.353725014153668e-28,1.0,1.8085827119346237e-32
2022-09-01,15.077821011673144,1.0,5.927934139194963e-28,1.0,1.2632534002365294e-22
2022-10-01,14.285714285714302,1.0,8.515569684651063e-28,0.99999999999999,1.0082165791854694e-14
2022-11-01,14.87523992322457,1.0,4.2044651434114645e-26,1.0,7.469169972365743e-17
2022-12-01,15.532118887823598,1.0,6.85332335702527e-25,1.0,7.973945253238681e-19
2023-01-01,17.40384615384616,1.0,6.756725052018767e-23,1.0,2.668332255516459e-21
2023-02-01,20.83729781160799,1.0,7.130103729139298e-21,1.0,2.0567809904687597e-33
2023-03-01,16.453382084095058,1.0,7.087939777328647e-27,1.0,2.8808944009091944e-20
2023-04-01,16.858917480035473,1.0,7.310226172024164e-27,1.0,1.728702556606412e-25
2023-05-01,16.088888888888885,1.0,7.752054833917839e-27,1.0,1.1326189179999731e-28
2023-06-01,13.143872113676736,1.0,2.134015775959742e-30,1.0,7.509613419539617e-24
2023-07-01,12.052401746724906,1.0,9.822775415953002e-30,1.0,2.1687868880024843e-26
2023-08-01,10.576096302665515,1.0,6.97050680103429e-29,1.0,3.1945314588131336e-27
2023-09-01,10.143702451394777,1.0,4.7550476317114725e-27,1.0,3.915868473168324e-24
2023-10-01,8.976510067114084,1.0,2.676592088802061e-26,1.0,3.0466859906898333e-24
2023-11-01,7.685881370091896,1.0,2.8698309861618546e-25,0.9999999999999993,6.186163647507649e-16
2023-12-01,6.804979253112031,1.0,7.505664110074213e-24,1.0,1.3937660461884021e-22
2024-01-01,4.258804258804272,1.0,1.426250714817177e-23,1.0,3.420855379184705e-21
2024-02-01,-0.47244094488188,1.0,2.5583529638614007e-27,0.9999999999997979,2.0214925978670149e-13
2024-03-01,0.8634222919937207,1.0,5.2030945797599465e-24,1.0,1.0384774867988247e-21
2024-04-01,-1.442672741078188,1.0,5.357048792377785e-24,1.0,1.038465910078395e-21
2024-05-01,-1.3016845329249516,1.0,8.028614173832006e-23,1.0,1.0317477737436032e-21
2024-06-01,1.6483516483516425,1.0,1.3733510594322085e-19,1.0,7.658205400362932e-26
2024-07-01,0.3117692907248504,1.0,1.3794959322778112e-19,1.0,8.503645762081544e-26
2024-08-01,1.9440124416796325,1.0,1.2768282230905572e-18,1.0,2.1397584519016424e-28
2024-09-01,0.5372217958557135,1.0,1.36130186547085e-18,1.0,4.9023251918108495e-22
2024-10-01,0.3079291762894565,1.0,8.977953034069555e-18,1.0,5.470039802123435e-22
2024-11-01,0.6982156710628518,0.9999999999999996,3.593615726044373e-16,1.0,1.7942822245088755e-21
2024-12-01,0.6216006216006376,0.9999999999999969,2.9736118391401813e-15,0.9999999999999993,5.933648588010063e-16
